Order ID,Product
176560.0,Google Phone
176560.0,Wired Headphones
176574.0,Google Phone
176574.0,USB-C Charging Cable
176585.0,Bose SoundSport Headphones
176585.0,Bose SoundSport Headphones
176586.0,AAA Batteries (4-pack)
176586.0,Google Phone
176672.0,Lightning Charging Cable
176672.0,USB-C Charging Cable
176681.0,Apple Airpods Headphones
176681.0,ThinkPad Laptop
176689.0,Bose SoundSport Headphones
176689.0,AAA Batteries (4-pack)
176739.0,34in Ultrawide Monitor
176739.0,Google Phone
176774.0,Lightning Charging Cable
176774.0,USB-C Charging Cable
176781.0,iPhone
176781.0,Lightning Charging Cable
176797.0,Google Phone
176797.0,Bose SoundSport Headphones
176797.0,Wired Headphones
176805.0,Google Phone
176805.0,USB-C Charging Cable
176808.0,Google Phone
176808.0,Wired Headphones
176813.0,Google Phone
176813.0,Wired Headphones
176935.0,AAA Batteries (4-pack)
176935.0,27in FHD Monitor
176975.0,USB-C Charging Cable
176975.0,AAA Batteries (4-pack)
176989.0,Google Phone
176989.0,USB-C Charging Cable
176993.0,iPhone
176993.0,Wired Headphones
177022.0,iPhone
177022.0,Wired Headphones
177102.0,iPhone
177102.0,27in 4K Gaming Monitor
177115.0,iPhone
177115.0,Lightning Charging Cable
177117.0,ThinkPad Laptop
177117.0,AAA Batteries (4-pack)
177167.0,iPhone
177167.0,Apple Airpods Headphones
177167.0,AAA Batteries (4-pack)
177178.0,iPhone
177178.0,Lightning Charging Cable
177181.0,Wired Headphones
177181.0,Apple Airpods Headphones
177182.0,Macbook Pro Laptop
177182.0,ThinkPad Laptop
177184.0,AA Batteries (4-pack)
177184.0,Flatscreen TV
177198.0,Vareebadd Phone
177198.0,USB-C Charging Cable
177201.0,USB-C Charging Cable
177201.0,Lightning Charging Cable
177213.0,iPhone
177213.0,Lightning Charging Cable
177228.0,Google Phone
177228.0,AA Batteries (4-pack)
177254.0,AA Batteries (4-pack)
177254.0,AAA Batteries (4-pack)
177256.0,Bose SoundSport Headphones
177256.0,AA Batteries (4-pack)
177300.0,20in Monitor
177300.0,Apple Airpods Headphones
177367.0,Google Phone
177367.0,USB-C Charging Cable
177367.0,Bose SoundSport Headphones
177398.0,27in FHD Monitor
177398.0,AAA Batteries (4-pack)
177428.0,Vareebadd Phone
177428.0,USB-C Charging Cable
177441.0,iPhone
177441.0,Lightning Charging Cable
177443.0,Apple Airpods Headphones
177443.0,27in 4K Gaming Monitor
177448.0,Google Phone
177448.0,USB-C Charging Cable
177486.0,ThinkPad Laptop
177486.0,Google Phone
177504.0,Google Phone
177504.0,USB-C Charging Cable
177506.0,iPhone
177506.0,Apple Airpods Headphones
177511.0,iPhone
177511.0,Lightning Charging Cable
177569.0,Wired Headphones
177569.0,Google Phone
177578.0,Google Phone
177578.0,USB-C Charging Cable
177582.0,Bose SoundSport Headphones
177582.0,Wired Headphones
177592.0,iPhone
177592.0,Lightning Charging Cable
177638.0,Apple Airpods Headphones
177638.0,Google Phone
177681.0,AAA Batteries (4-pack)
177681.0,Macbook Pro Laptop
177719.0,Google Phone
177719.0,USB-C Charging Cable
177758.0,USB-C Charging Cable
177758.0,Lightning Charging Cable
177769.0,iPhone
177769.0,Lightning Charging Cable
177778.0,iPhone
177778.0,Apple Airpods Headphones
177782.0,Lightning Charging Cable
177782.0,27in 4K Gaming Monitor
177795.0,Apple Airpods Headphones
177795.0,Apple Airpods Headphones
177800.0,Google Phone
177800.0,USB-C Charging Cable
177800.0,Wired Headphones
177815.0,Apple Airpods Headphones
177815.0,Lightning Charging Cable
177861.0,AA Batteries (4-pack)
177861.0,Apple Airpods Headphones
177874.0,iPhone
177874.0,Apple Airpods Headphones
177971.0,iPhone
177971.0,Lightning Charging Cable
177996.0,iPhone
177996.0,Lightning Charging Cable
178009.0,34in Ultrawide Monitor
178009.0,USB-C Charging Cable
178029.0,iPhone
178029.0,Apple Airpods Headphones
178106.0,AAA Batteries (4-pack)
178106.0,Wired Headphones
178118.0,iPhone
178118.0,AAA Batteries (4-pack)
178135.0,Lightning Charging Cable
178135.0,AA Batteries (4-pack)
178137.0,Lightning Charging Cable
178137.0,AA Batteries (4-pack)
178158.0,Google Phone
178158.0,USB-C Charging Cable
178158.0,Wired Headphones
178158.0,USB-C Charging Cable
178162.0,iPhone
178162.0,Lightning Charging Cable
178168.0,AA Batteries (4-pack)
178168.0,Macbook Pro Laptop
178190.0,Vareebadd Phone
178190.0,Wired Headphones
178221.0,Flatscreen TV
178221.0,Lightning Charging Cable
178242.0,iPhone
178242.0,Lightning Charging Cable
178258.0,iPhone
178258.0,Apple Airpods Headphones
178280.0,iPhone
178280.0,Lightning Charging Cable
178290.0,Wired Headphones
178290.0,ThinkPad Laptop
178404.0,Bose SoundSport Headphones
178404.0,USB-C Charging Cable
178412.0,Vareebadd Phone
178412.0,Wired Headphones
178432.0,Bose SoundSport Headphones
178432.0,USB-C Charging Cable
178523.0,USB-C Charging Cable
178523.0,20in Monitor
